# IntelliGrid — Deep Production Audit Checklist
**Version**: 2.1.0 | **Audit Date**: February 2026 | **Status**: Pre-Launch Final Review

> **How to use**: Work through each section top-to-bottom. Mark each item `✅ Done`, `⚠️ Partial`, `❌ Missing`, or `N/A`. Priority labels: 🔴 **Critical** (blocks launch) | 🟡 **Important** (should fix soon) | 🟢 **Enhancement** (nice to have).

---

## TABLE OF CONTENTS

1. [Frontend — Pages & Routing](#1-frontend--pages--routing)
2. [Frontend — Components](#2-frontend--components)
3. [Frontend — Auth & Access Control](#3-frontend--auth--access-control)
4. [Frontend — Search & Discovery](#4-frontend--search--discovery)
5. [Frontend — Performance & SEO](#5-frontend--performance--seo)
6. [Frontend — UX & Design System](#6-frontend--ux--design-system)
7. [Backend — API Routes](#7-backend--api-routes)
8. [Backend — Database & Models](#8-backend--database--models)
9. [Backend — Services Layer](#9-backend--services-layer)
10. [Backend — Middleware & Security](#10-backend--middleware--security)
11. [Payments & Monetization](#11-payments--monetization)
12. [Email Automation](#12-email-automation)
13. [Admin Panel](#13-admin-panel)
14. [Search — Algolia Integration](#14-search--algolia-integration)
15. [Analytics & Monitoring](#15-analytics--monitoring)
16. [Infrastructure & Deployment](#16-infrastructure--deployment)
17. [Security Hardening](#17-security-hardening)
18. [Legal & Compliance](#18-legal--compliance)
19. [Data Integrity & Content](#19-data-integrity--content)
20. [Go-Live Final Switches](#20-go-live-final-switches)

---

## 1. Frontend — Pages & Routing

### 1.1 Route Coverage (17 Pages)

| Priority | Check | Status | Notes |
|---|---|---|---|
| 🔴 | All 17 routes registered in router config | | |
| 🔴 | Lazy-loading applied to all non-critical pages | | Reduces initial bundle |
| 🔴 | Protected routes (`/dashboard`, `/admin`) correctly wrapped in `ProtectedRoute.jsx` | | |
| 🔴 | 404 `NotFoundPage` catches all unmatched routes (`path="*"`) | | |
| 🟡 | Admin sub-routes (`/admin/revenue`, `/admin/health`) require `MODERATOR+` role | | |
| 🟡 | Deep linking works (direct URL navigation, no blank page on refresh) | | Vercel SPA fallback config |
| 🟡 | All route transitions are smooth (no flicker/flash of unstyled content) | | |
| 🟢 | Browser back/forward navigation preserves scroll position | | |

### 1.2 Page-by-Page Checklist

#### `HomePage` (`/`)
| Priority | Check | Status |
| 🔴 | `EditToolModal` saves changes to MongoDB and re-syncs Algolia | |
| 🔴 | Review Moderation: pending reviews list loads | |
| 🔴 | Review Moderation: approve/delete actions work and recalculate rating | |
| 🔴 | User Management: search by email/name functional | |
| 🔴 | User Management: role change works (and is SUPERADMIN-only for escalation) | |
| 🟡 | Admin actions show confirmation dialogs for destructive operations | |
| 🟡 | Bulk approve/reject for tool queue | |

### 13.2 Standalone Admin App (`admin.intelligrid.online`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | Deployed and accessible at `admin.intelligrid.online` | |
| 🔴 | Auth guard prevents access without `MODERATOR+` role | |
| 🔴 | Dashboard metrics load from correct API endpoints | |
| 🔴 | Revenue dashboard: MRR trend chart renders | |
| 🔴 | Revenue dashboard: transaction history table loads | |
| 🟡 | Revenue dashboard: PayPal vs Cashfree breakdown correct | |
| 🟡 | System health page shows live MongoDB and Redis status | |
| 🟡 | System health page shows Railway uptime | |

---

## 14. Search — Algolia Integration

| Priority | Check | Status |
|---|---|---|
| 🔴 | `ALGOLIA_APP_ID` and `ALGOLIA_ADMIN_KEY` set in Railway env | |
| 🔴 | `VITE_ALGOLIA_SEARCH_KEY` (search-only) set in Vercel env (NOT admin key) | |
| 🔴 | `intelligrid_tools` index exists and contains all 4,000+ tools | |
| 🔴 | Searchable attributes configured: name, description, shortDescription, tags, category.name | |
| 🔴 | Facets configured: pricing.type, isFeatured, isTrending, category.slug | |
| 🔴 | Custom ranking configured: views desc, ratings.average desc, createdAt desc | |
| 🔴 | New tool approvals trigger Algolia index update | |
| 🔴 | Tool edits trigger Algolia record update | |
| 🔴 | Tool deletions remove record from Algolia | |
| 🟡 | `syncAlgolia.js` script documented and accessible for manual re-sync | |
| 🟡 | Algolia monthly search operation limit reviewed against expected traffic | |
| 🟢 | Algolia analytics dashboard enabled to track search terms | |
| 🟢 | Typo tolerance configured appropriately | |

---

## 15. Analytics & Monitoring

### 15.1 Google Analytics 4

| Priority | Check | Status |
|---|---|---|
| 🔴 | GA4 measurement ID set and `initGA()` fires in `App.jsx` | |
| 🔴 | Page view events track on every route change | |
| 🟡 | Custom events tracked: tool visit, upgrade click, comparison view, collection create | |
| 🟡 | GA4 data stream verified receiving data in GA dashboard | |
| 🟢 | Conversion goals configured in GA4 (subscription purchase) | |

### 15.2 Sentry

| Priority | Check | Status |
|---|---|---|
| 🔴 | `VITE_SENTRY_DSN` set in Vercel env (Frontend) | |
| 🔴 | `SENTRY_DSN` set in Railway env (Backend) | |
| 🔴 | Sentry initialized and capturing errors in both Frontend and Backend | |
| 🔴 | Sentry release/version tagging configured | |
| 🟡 | Error alert rules configured in Sentry (notify on spike) | |
| 🟡 | Source maps uploaded to Sentry for readable stack traces | |
| 🟢 | Sentry performance monitoring enabled | |

### 15.3 Platform Analytics

| Priority | Check | Status |
|---|---|---|
| 🟡 | Tool view tracking stores to `AnalyticsEvent` without impacting response time | |
| 🟡 | MRR/DAU aggregation queries are performant (use aggregation pipeline, not app-level) | |
| 🟢 | Search query logging to `SearchLog` for internal insights | |

---

## 16. Infrastructure & Deployment

### 16.1 Vercel (Frontend)

| Priority | Check | Status |
|---|---|---|
| 🔴 | `www.intelligrid.online` points to Vercel correctly | |
| 🔴 | Non-www redirects to `www.intelligrid.online` (or vice versa, consistently) | |
| 🔴 | HTTPS enforced (Vercel handles this, verify TLS cert active) | |
| 🔴 | SPA fallback configured in `vercel.json` (all routes → `index.html`) | |
| 🔴 | Sitemap rewrite rule in `vercel.json` (`/sitemap.xml` → Railway) | |
| 🔴 | `robots.txt` rewrite configured | |
| 🔴 | Root Directory set to `Frontend/` in Vercel project settings | |
| 🔴 | Auto-deploy on `main` branch push working | |
| 🟡 | Deploy previews for PRs configured | |
| 🟡 | Build output size reviewed (check for accidentally bundled dev dependencies) | |
| 🟢 | Vercel Analytics enabled | |

### 16.2 Railway (Backend)

| Priority | Check | Status |
|---|---|---|
| 🔴 | `intelligrid-production` Railway service is running | |
| 🔴 | Start command: `node src/server.js` confirmed in `railway.json` | |
| 🔴 | Health check endpoint configured for Railway to monitor | |
| 🔴 | Railway auto-deploy on `main` push working | |
| 🔴 | Railway Redis service running and connected | |
| 🟡 | Railway service restart policy configured (auto-restart on crash) | |
| 🟡 | Railway resource limits (RAM/CPU) appropriate for expected load | |
| 🟢 | Railway metrics monitored (memory, CPU trends) | |

### 16.3 Environment Variables Audit

**Backend (Railway) — Complete Variable Checklist:**

| Priority | Variable | Status |
|---|---|---|
| 🔴 | `MONGODB_URI` | |
| 🔴 | `REDIS_URL` | |
| 🔴 | `CLERK_SECRET_KEY` (production key) | |
| 🔴 | `CLERK_WEBHOOK_SECRET` | |
| 🔴 | `ALGOLIA_APP_ID` | |
| 🔴 | `ALGOLIA_ADMIN_KEY` | |
| 🔴 | `PAYPAL_CLIENT_ID` (live) | |
| 🔴 | `PAYPAL_CLIENT_SECRET` (live) | |
| 🔴 | `PAYPAL_MODE=live` | |
| 🔴 | `CASHFREE_APP_ID` (production) | |
| 🔴 | `CASHFREE_SECRET_KEY` (production) | |
| 🔴 | `CASHFREE_ENV=PROD` | |
| 🔴 | `BREVO_API_KEY` | |
| 🔴 | `FROM_EMAIL` | |
| 🔴 | `SENTRY_DSN` | |
| 🔴 | `FRONTEND_URL=https://www.intelligrid.online` | |
| 🟡 | `RATE_LIMIT_WINDOW_MS` | |
| 🟡 | `RATE_LIMIT_MAX_REQUESTS` | |
| 🟡 | `NODE_ENV=production` | |

**Frontend (Vercel) — Complete Variable Checklist:**

| Priority | Variable | Status |
|---|---|---|
| 🔴 | `VITE_API_URL=https://intelligrid-production.up.railway.app` | |
| 🔴 | `VITE_CLERK_PUBLISHABLE_KEY` (production key) | |
| 🔴 | `VITE_ALGOLIA_APP_ID` | |
| 🔴 | `VITE_ALGOLIA_SEARCH_KEY` (search-only, NOT admin) | |
| 🔴 | `VITE_SENTRY_DSN` | |

---

## 17. Security Hardening

| Priority | Check | Status |
|---|---|---|
| 🔴 | No secrets or API keys committed in git history | |
| 🔴 | GitHub Push Protection / secret scanning enabled | |
| 🔴 | Admin API key (Algolia) never exposed in frontend bundles | |
| 🔴 | Clerk `secretKey` only on backend; `publishableKey` on frontend | |
| 🔴 | PayPal/Cashfree secret keys only on backend | |
| 🔴 | `helmet()` CSP `script-src` does not allow `unsafe-eval` or `unsafe-inline` in production | |
| 🔴 | All webhook endpoints verify signatures before processing | |
| 🔴 | MongoDB queries use parameterized inputs (no string concatenation) | |
| 🔴 | User cannot modify another user's data (ownership checks in service layer) | |
| 🔴 | File upload endpoints (if any) validate file type and size | |
| 🟡 | Dependency audit: `npm audit` shows no high/critical vulnerabilities | |
| 🟡 | Sensitive user data never logged to console in production | |
| 🟡 | MongoDB Atlas network access restricted to Railway IPs only | |
| 🟡 | Redis requires auth token (not open access) | |
| 🟡 | Admin panel not indexed by search engines (robots.txt disallow `/admin`) | |
| 🟢 | Penetration test or security review performed pre-launch | |
| 🟢 | OWASP Top 10 checklist reviewed | |

---

## 18. Legal & Compliance

| Priority | Check | Status |
|---|---|---|
| 🔴 | Privacy Policy live at `/privacy-policy` | |
| 🔴 | Privacy Policy mentions all data processors: Clerk, MongoDB, Algolia, Brevo, PayPal, Cashfree, Sentry, Google Analytics | |
| 🔴 | Terms of Service live at `/terms-of-service` | |
| 🔴 | Terms of Service includes subscription and payment terms | |
| 🔴 | Refund Policy live at `/refund-policy` (30-day guarantee) | |
| 🔴 | Cookie Consent banner present and functional | |
| 🔴 | Users can reject non-essential cookies | |
| 🔴 | GDPR data export endpoint functional (`/api/v1/gdpr/export`) | |
| 🔴 | GDPR deletion endpoint functional (`/api/v1/gdpr/delete`) | |
| 🟡 | Cookie consent state persists across browser sessions | |
| 🟡 | Analytics fires only AFTER cookie consent granted | |
| 🟡 | Legal pages linked in footer from all pages | |
| 🟡 | Business registration / legal entity established for payments | |
| 🟡 | PayPal merchant agreement and Cashfree merchant agreement signed | |
| 🟡 | CCPA compliance for California users considered | |
| 🟢 | Brevo GDPR Data Processing Agreement (DPA) signed | |
| 🟢 | Algolia GDPR DPA signed | |

---

## 19. Data Integrity & Content

| Priority | Check | Status |
|---|---|---|
| 🔴 | All 4,000+ tools have required fields: name, slug, description, category | |
| 🔴 | All tool slugs are unique | |
| 🔴 | All tool `officialUrl` fields are valid URLs | |
| 🔴 | Tools with `isVerified: true` actually verified | |
| 🔴 | All categories have correct `toolCount` values | |
| 🔴 | No duplicate tool entries in database | |
| 🔴 | Algolia index count matches MongoDB tool count | |
| 🟡 | Tools without screenshots have acceptable fallback display | |
| 🟡 | Tools without logos use styled initials placeholder correctly | |
| 🟡 | All tool `shortDescription` fields are 160 characters or less (for meta tags) | |
| 🟡 | Trending tools list reviewed and makes sense | |
| 🟢 | Tool data quality audit (broken URLs, outdated pricing info) | |
| 🟢 | Category distribution reviewed (no category with 0 tools) | |

---

## 20. Go-Live Final Switches

This section summarizes the exact actions required to move from current state to fully live production.

| Priority | Action | Location | Change |
|---|---|---|---|
| 🔴 | Switch PayPal to live | Railway env vars | `PAYPAL_MODE=live` |
| 🔴 | Set live PayPal keys | Railway env vars | Replace sandbox `PAYPAL_CLIENT_ID` + `PAYPAL_CLIENT_SECRET` |
| 🔴 | Switch Cashfree to production | Railway env vars | `CASHFREE_ENV=PROD` |
| 🔴 | Set production Cashfree keys | Railway env vars | Replace test `CASHFREE_APP_ID` + `CASHFREE_SECRET_KEY` |
| 🔴 | Switch Clerk to production instance | Vercel env vars | `VITE_CLERK_PUBLISHABLE_KEY` → production key |
| 🔴 | Update Clerk secret key | Railway env vars | `CLERK_SECRET_KEY` → production key |
| 🔴 | Update Clerk webhook secret | Railway env vars | `CLERK_WEBHOOK_SECRET` → production webhook secret |
| 🔴 | Register webhook URLs in PayPal dashboard | PayPal developer portal | Point to Railway `/api/v1/payment/webhook/paypal` |
| 🔴 | Register webhook URLs in Cashfree dashboard | Cashfree merchant portal | Point to Railway `/api/v1/payment/webhook/cashfree` |
| 🔴 | Flush Redis cache | Redis CLI | `FLUSHALL` (post-config change) |
| 🔴 | Run Algolia full re-sync | Terminal | `node Backend/scripts/syncAlgolia.js` |
| 🟡 | Verify auto-deploy git author | Git config | Commits authored by `superadmin@intelligrid.store` |
| 🟡 | Test one live PayPal transaction end-to-end | Browser | Verify full order → verify → pro tier flow |
| 🟡 | Test one live Cashfree transaction end-to-end | Browser | Verify full order → verify → pro tier flow |
| 🟡 | Monitor Sentry for new errors post-launch | Sentry dashboard | First 30 min critical |
| 🟡 | Monitor Railway logs for errors | Railway dashboard | First 30 min critical |

---

## Audit Summary Scorecard

Use this section to track overall readiness after completing the checklist.

| Category | Total Items | ✅ Done | ⚠️ Partial | ❌ Missing |
|---|---|---|---|---|
| Frontend — Pages & Routing | ~65 | | | |
| Frontend — Components | ~40 | | | |
| Frontend — Auth | ~12 | | | |
| Frontend — Search | ~9 | | | |
| Frontend — Performance & SEO | ~14 | | | |
| Frontend — UX & Design | ~11 | | | |
| Backend — API Routes | ~50 | | | |
| Backend — Database & Models | ~18 | | | |
| Backend — Services | ~16 | | | |
| Backend — Middleware | ~10 | | | |
| Payments & Monetization | ~30 | | | |
| Email Automation | ~12 | | | |
| Admin Panel | ~20 | | | |
| Algolia Search | ~13 | | | |
| Analytics & Monitoring | ~15 | | | |
| Infrastructure & Deployment | ~22 | | | |
| Security | ~18 | | | |
| Legal & Compliance | ~18 | | | |
| Data Integrity | ~14 | | | |
| Go-Live Switches | ~15 | | | |
| **TOTAL** | **~431** | | | |

### Launch Gate Criteria

> **Do not launch until all 🔴 Critical items are ✅ Done.**

- 🔴 Critical items complete: _____ / _____ 
- 🟡 Important items complete: _____ / _____
- **Launch Authorized By**: _________________________ **Date**: _____________

---

*Audit checklist generated for IntelliGrid v2.1.0 — February 2026*
*Last auditor: _________________________ | Next review: _________________________*
